Date,Open,High,Low,Close,Adj Close,Volume
2018-09-26,231.100006,245.000000,229.699997,241.550003,241.550003,40596440
2018-09-27,241.850006,246.800003,238.600006,240.649994,240.649994,25137487
2018-09-28,241.250000,242.800003,227.100006,232.300003,232.300003,20835004
2018-10-01,230.000000,234.100006,225.449997,232.649994,232.649994,15971844
2018-10-03,232.699997,246.899994,232.149994,240.100006,240.100006,36242984
2018-10-04,239.649994,244.300003,234.100006,239.399994,239.399994,27385995
2018-10-05,237.000000,241.500000,226.100006,231.649994,231.649994,17175345
2018-10-08,227.000000,228.250000,198.250000,206.750000,206.750000,37293316
2018-10-09,208.000000,216.500000,204.050003,212.100006,212.100006,17869475
2018-10-10,213.300003,220.649994,213.250000,218.149994,218.149994,12774692
2018-10-11,208.149994,217.750000,200.000000,207.899994,207.899994,16424058
2018-10-12,210.500000,216.600006,210.399994,214.300003,214.300003,11697753
2018-10-15,216.899994,216.899994,208.649994,210.600006,210.600006,14022679
2018-10-16,212.000000,214.800003,211.500000,212.449997,212.449997,5405111
2018-10-17,215.399994,216.449997,206.649994,207.949997,207.949997,8586330
2018-10-19,206.449997,214.199997,199.750000,211.100006,211.100006,19958162
2018-10-22,213.050003,219.250000,207.850006,213.550003,213.550003,13766095
2018-10-23,211.800003,216.250000,207.600006,210.350006,210.350006,12100077
2018-10-24,212.199997,214.000000,208.300003,211.899994,211.899994,8365420
2018-10-25,208.600006,209.600006,201.600006,204.600006,204.600006,21349045
2018-10-26,204.850006,207.449997,199.000000,203.649994,203.649994,12026230
2018-10-29,207.050003,212.500000,203.850006,211.399994,211.399994,10870728
2018-10-30,212.600006,216.399994,210.000000,211.199997,211.199997,10500891
2018-10-31,211.449997,213.850006,207.000000,211.149994,211.149994,10731974
2018-11-01,213.000000,215.399994,208.000000,212.800003,212.800003,17281051
2018-11-02,217.000000,227.350006,214.550003,225.899994,225.899994,19722750
2018-11-05,225.449997,227.750000,220.800003,222.449997,222.449997,13542401
2018-11-06,207.699997,213.649994,205.300003,207.399994,207.399994,19834081
2018-11-07,null,null,null,null,null,null
2018-11-09,210.949997,212.000000,208.300003,209.050003,209.050003,6868901
2018-11-12,209.750000,210.899994,202.250000,203.149994,203.149994,11801858
2018-11-13,202.000000,206.000000,201.000000,205.600006,205.600006,9244839
2018-11-14,206.500000,207.899994,203.550003,204.100006,204.100006,7525220
2018-11-15,205.300003,209.649994,202.750000,207.550003,207.550003,10248843
2018-11-16,208.000000,209.000000,205.550003,206.800003,206.800003,7998497
2018-11-19,207.800003,212.800003,207.399994,211.350006,211.350006,10878040
2018-11-20,210.250000,210.899994,200.000000,205.250000,205.250000,18615840
2018-11-21,204.000000,204.399994,201.000000,201.899994,201.899994,14273100
2018-11-22,203.899994,204.600006,199.000000,199.600006,199.600006,12387967
2018-11-26,200.000000,200.050003,191.000000,195.800003,195.800003,20552801
2018-11-27,193.850006,199.699997,190.199997,195.000000,195.000000,21061915
2018-11-28,196.199997,197.350006,192.149994,192.949997,192.949997,13300756
2018-11-29,196.500000,201.899994,196.250000,198.800003,198.800003,16248210
2018-11-30,200.800003,201.000000,194.850006,195.850006,195.850006,14713297
2018-12-03,201.500000,205.350006,201.000000,202.949997,202.949997,16235433
2018-12-04,202.399994,206.899994,200.600006,206.199997,206.199997,10559839
2018-12-05,202.350006,204.449997,197.449997,198.399994,198.399994,12327914
2018-12-06,196.899994,196.899994,191.000000,195.350006,195.350006,15693557
2018-12-07,197.949997,198.300003,193.000000,195.699997,195.699997,9185719
2018-12-10,191.399994,195.649994,190.199997,192.550003,192.550003,6766286
2018-12-11,191.899994,195.000000,190.050003,193.550003,193.550003,12458158
2018-12-12,194.550003,200.750000,193.550003,199.300003,199.300003,11215747
2018-12-13,201.000000,202.800003,198.300003,200.649994,200.649994,10141845
2018-12-14,199.000000,203.199997,198.149994,201.600006,201.600006,7637495
2018-12-17,212.800003,213.300003,204.600006,205.500000,205.500000,27613999
2018-12-18,204.899994,210.000000,204.250000,208.550003,208.550003,12509870
2018-12-19,209.800003,209.949997,205.649994,206.850006,206.850006,11334523
2018-12-20,205.000000,205.000000,201.500000,202.750000,202.750000,13958524
2018-12-21,204.500000,204.550003,199.149994,200.050003,200.050003,14374440
2018-12-24,198.000000,199.500000,196.000000,196.399994,196.399994,9951166
2018-12-26,195.949997,197.649994,193.050003,196.399994,196.399994,9449698
2018-12-27,199.649994,202.250000,195.199997,195.850006,195.850006,12890647
2018-12-28,197.649994,200.649994,197.000000,199.399994,199.399994,8693150
2018-12-31,201.399994,203.600006,200.600006,202.199997,202.199997,9580784
2019-01-01,202.500000,202.850006,200.350006,202.100006,202.100006,3947501
2019-01-02,200.000000,200.000000,192.500000,193.149994,193.149994,18935386
2019-01-03,193.699997,195.000000,187.550003,187.949997,187.949997,13968283
2019-01-04,188.000000,194.449997,186.649994,192.899994,192.899994,12883382
2019-01-07,196.100006,198.649994,192.500000,193.449997,193.449997,11020289
2019-01-08,194.500000,197.000000,191.899994,195.649994,195.649994,14295380
2019-01-09,197.949997,198.000000,192.000000,194.750000,194.750000,11205333
2019-01-10,195.000000,196.199997,193.449997,195.449997,195.449997,8256271
2019-01-11,195.500000,198.300003,195.000000,196.600006,196.600006,8245755
2019-01-14,196.000000,196.000000,192.000000,193.050003,193.050003,9059869
2019-01-15,193.850006,199.800003,193.350006,198.899994,198.899994,9416350
2019-01-16,201.000000,202.250000,195.699997,196.300003,196.300003,12554389
2019-01-17,197.250000,198.250000,195.399994,197.449997,197.449997,6591718
2019-01-18,199.000000,200.000000,196.250000,198.699997,198.699997,8307081
2019-01-21,200.100006,200.500000,197.649994,198.449997,198.449997,6348706
2019-01-22,197.500000,197.500000,191.000000,191.500000,191.500000,9901151
2019-01-23,191.500000,195.000000,190.600006,192.800003,192.800003,7523951
2019-01-24,192.899994,195.449997,191.300003,193.500000,193.500000,6195845
2019-01-25,195.100006,196.399994,192.550003,194.699997,194.699997,6437316
2019-01-28,195.000000,195.000000,191.000000,191.500000,191.500000,6045200
2019-01-29,191.500000,193.850006,189.399994,192.649994,192.649994,6230069
2019-01-30,192.899994,196.449997,192.149994,194.100006,194.100006,10015876
2019-01-31,195.500000,198.250000,193.800003,197.350006,197.350006,13404228
2019-02-01,179.649994,180.000000,158.149994,162.149994,162.149994,98562137
2019-02-04,162.800003,165.000000,156.500000,161.350006,161.350006,24578563
2019-02-05,159.300003,164.500000,157.250000,162.600006,162.600006,14352577
2019-02-06,163.350006,165.000000,157.750000,163.750000,163.750000,13140943
2019-02-07,162.949997,165.649994,161.800003,163.449997,163.449997,9437018
2019-02-08,162.300003,162.399994,149.699997,154.149994,154.149994,21667191
